Group,$g_0$,backend,Computation Time,\# Faces,\# Vertices
c17,1,ppl,8.05374097824,267,128
c17,15,ppl,8.24865293503,267,128
c17,2,ppl,8.41636610031,267,128
c17,10,ppl,8.64357018471,267,128
c17,16,ppl,8.64480280876,267,128
c17,4,ppl,8.69003200531,267,128
c17,3,ppl,8.9163620472,267,128
c17,8,ppl,9.21622395515,267,128
c17,9,ppl,9.1918258667,267,128
c17,5,ppl,9.90991210938,267,128
c17,12,ppl,3.31054210663,267,128
c17,6,ppl,4.1464600563,267,128
c17,11,ppl,9.77970004082,267,128
c17,13,ppl,6.41835594177,267,128
c17,7,ppl,6.24064803123,267,128
c9c2,"7,0",ppl,7.66842699051,171,118
c17,14,ppl,6.91697406769,267,128
c17,0,ppl,19.0132029057,496,328
c9c2,"3,0",ppl,10.2174870968,225,83
c9c2,"2,0",ppl,6.16100311279,171,118
c9c2,"5,0",ppl,6.206138134,171,118
c9c2,"8,0",ppl,2.20362091064,171,118
c9c2,"6,0",ppl,6.96428203583,225,83
c9c2,"1,0",ppl,3.35252785683,171,118
c9c2,"4,0",ppl,2.63641500473,171,118
c9c2,"0,1",ppl,24.5121560097,591,205
c3c3c2,"2,1,0",ppl,1.96538710594,156,107
c3c3c2,"2,1,1",ppl,9.37732791901,283,208
c3c3c2,"2,0,0",ppl,2.60440301895,156,107
c3c3c2,"0,1,1",ppl,10.0102930069,283,208
c3c3c2,"0,2,0",ppl,1.94218611717,156,107
c3c3c2,"1,0,0",ppl,1.96881890297,156,107
c9c2,"8,1",ppl,31.4232389927,386,232
c3c3c2,"1,1,0",ppl,5.44716882706,156,107
c3c3c2,"0,0,1",ppl,5.10497498512,447,121
c9c2,"6,1",ppl,36.283135891,583,196
c3c3c2,"1,2,0",ppl,1.9902639389,156,107
c3c3c2,"1,2,1",ppl,8.69126009941,283,208
c9c2,"7,1",ppl,41.2894058228,386,232
c9c2,"5,1",ppl,32.6592280865,386,232
c3c3c2,"2,2,1",ppl,7.00280404091,283,208
c3c3c2,"0,1,0",ppl,2.05683493614,156,107
c9c2,"4,1",ppl,32.5801260471,386,232
c3c3c2,"2,2,0",ppl,1.80249214172,156,107
c3c3c2,"1,0,1",ppl,18.7055158615,283,208
c9c2,"2,1",ppl,48.667072773,386,232
c3c3c2,"1,1,1",ppl,24.5981271267,283,208
c3c3c2,"0,2,1",ppl,17.0640358925,283,208
