Group,$g_0$,backend,Computation Time,\# Faces,\# Vertices
c2,0,normaliz,0.0204999446869,1,1
c2,1,normaliz,0.00970602035522,1,1
c3,2,normaliz,0.0119218826294,3,2
c3,0,normaliz,0.0107419490814,4,3
c3,1,normaliz,0.0105020999908,3,2
c4,2,normaliz,0.011440038681,4,3
c4,0,normaliz,0.011950969696,5,4
c4,3,normaliz,0.0121119022369,5,3
c4,1,normaliz,0.011570930481,5,3
c2c2,"0,1",normaliz,0.0192019939423,5,2
c2c2,"1,0",normaliz,0.0167908668518,5,2
c2c2,"0,0",normaliz,0.0153257846832,4,3
c2c2,"1,1",normaliz,0.0219640731812,5,2
c5,2,normaliz,0.0137050151825,6,5
c5,0,normaliz,0.0152661800385,8,10
c5,3,normaliz,0.0139119625092,6,5
c5,1,normaliz,0.0132780075073,6,5
c5,4,normaliz,0.0131940841675,6,5
c3c2,"0,1",normaliz,0.0175518989563,9,7
c3c2,"0,0",normaliz,0.0183379650116,9,9
c3c2,"2,1",normaliz,0.0182178020477,8,7
c3c2,"2,0",normaliz,0.0174059867859,7,5
c3c2,"1,0",normaliz,0.0174350738525,7,5
c3c2,"1,1",normaliz,0.0184569358826,8,7
c7,0,normaliz,0.0211369991302,12,23
c7,1,normaliz,0.0175361633301,10,10
c7,2,normaliz,0.0244991779327,10,10
c7,3,normaliz,0.0180540084839,10,10
c7,4,normaliz,0.0208930969238,10,10
c7,5,normaliz,0.0415329933167,10,10
c7,6,normaliz,0.017364025116,10,10
c8,0,normaliz,0.0218031406403,15,22
c8,1,normaliz,0.0247371196747,14,16
c8,2,normaliz,0.0185608863831,10,10
c8,3,normaliz,0.0196688175201,14,16
c8,4,normaliz,0.0189299583435,11,9
c8,5,normaliz,0.0200669765472,14,16
c8,6,normaliz,0.0213918685913,10,10
c8,7,normaliz,0.0206279754639,14,16
c2c4,"0,1",normaliz,0.0225081443787,12,12
c2c4,"1,2",normaliz,0.0246429443359,12,14
c2c4,"0,0",normaliz,0.0218369960785,11,9
c2c4,"0,2",normaliz,0.0207087993622,9,6
c2c4,"1,3",normaliz,0.0222139358521,12,12
c2c4,"1,0",normaliz,0.0232150554657,12,14
c2c4,"0,3",normaliz,0.0220160484314,12,12
c2c4,"1,1",normaliz,0.0226809978485,12,12
c2c2c2,"0,1,1",normaliz,0.023008108139,11,8
c2c2c2,"1,1,0",normaliz,0.0260469913483,11,8
c2c2c2,"1,0,0",normaliz,0.0239639282227,11,8
c2c2c2,"0,0,1",normaliz,0.0220029354095,11,8
c2c2c2,"1,0,1",normaliz,0.0267357826233,11,8
c2c2c2,"0,0,0",normaliz,0.0210938453674,8,7
c2c2c2,"0,1,0",normaliz,0.0208029747009,11,8
c2c2c2,"1,1,1",normaliz,0.0318109989166,11,8
c9,0,normaliz,0.0348880290985,24,36
c9,1,normaliz,0.0264620780945,15,19
c9,2,normaliz,0.0301780700684,15,19
c9,8,normaliz,0.0274448394775,15,19
c9,3,normaliz,0.0225760936737,16,14
c9,4,normaliz,0.0237390995026,15,19
c9,5,normaliz,0.0235409736633,15,19
c9,6,normaliz,0.0232260227203,16,14
c9,7,normaliz,0.0244991779327,15,19
c3c3,"0,1",normaliz,0.0263798236847,13,14
c3c3,"1,2",normaliz,0.0282609462738,13,14
c3c3,"0,0",normaliz,0.0290200710297,24,12
c3c3,"2,1",normaliz,0.0316951274872,13,14
c3c3,"1,1",normaliz,0.0282649993896,13,14
c3c3,"2,0",normaliz,0.0276827812195,13,14
c3c3,"2,2",normaliz,0.0277850627899,13,14
c3c3,"1,0",normaliz,0.0259170532227,13,14
c3c3,"0,2",normaliz,0.0269219875336,13,14
c5c2,"0,1",normaliz,0.0377590656281,25,29
c5c2,"0,0",normaliz,0.0365409851074,21,37
c5c2,"3,0",normaliz,0.0361709594727,16,17
c5c2,"3,1",normaliz,0.0404770374298,21,30
c5c2,"2,1",normaliz,0.0883870124817,21,30
c5c2,"2,0",normaliz,0.0375120639801,16,17
c5c2,"1,0",normaliz,0.0347630977631,16,17
c5c2,"4,1",normaliz,0.0472059249878,21,30
c5c2,"1,1",normaliz,0.039253950119,21,30
c5c2,"4,0",normaliz,0.0306890010834,16,17
c11,0,normaliz,0.0505168437958,32,85
c11,1,normaliz,0.0414021015167,28,32
c11,2,normaliz,0.0410001277924,28,32
c11,8,normaliz,0.0436060428619,28,32
c11,3,normaliz,0.0434999465942,28,32
c11,9,normaliz,0.0472218990326,28,32
c11,4,normaliz,0.039281129837,28,32
c11,10,normaliz,0.0446388721466,28,32
c11,5,normaliz,0.0496120452881,28,32
c11,6,normaliz,0.0413539409637,28,32
c11,7,normaliz,0.0394458770752,28,32
c3c4,"0,1",normaliz,0.0646710395813,41,44
