# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8
0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0
7,0,0,1,0,0,0,0,0,0,0
8,-1,0,1,0,1,0,1,0,1,1
9,0,1,0,0,0,0,0,0,0,0
10,-5,1,5,2,1,3,2,4,3,4
11,-3,2,3,2,1,2,1,2,1,1
12,-5,2,5,4,2,1,4,3,1,3
13,-5,2,5,4,3,4,1,2,1,3
14,-5,3,5,1,3,4,1,2,4,2
15,-5,4,5,2,1,2,3,4,3,1
16,-5,4,5,3,4,2,3,1,2,1
17,-10,4,10,8,4,7,3,6,2,6
18,-15,4,15,8,9,12,3,6,7,11
19,-10,6,10,7,6,8,2,4,3,4
20,-15,6,15,12,11,8,7,4,3,9
21,-10,7,10,4,2,6,4,8,6,3
22,-10,8,10,6,3,4,6,7,4,2
23,-15,8,15,6,3,4,11,12,9,7
24,-15,12,15,4,7,6,9,8,11,3
