# This encodes the incidence matrix, the first row lists the indices of the faces. The first column lists the indices of the vertices.
# Each element of the matrix is either 1 if a given vertex is adjacent to a face or 0 if not.
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1
2,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
3,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0
4,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
5,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
6,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1
8,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0
10,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
11,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
12,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1
15,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0
16,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
17,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
18,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1
19,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
20,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0
21,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0
22,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0
23,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
24,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0
25,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1
26,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
27,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1
28,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1
29,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
