# This encodes the incidence matrix, the first row lists the indices of the faces. The first column lists the indices of the vertices.
# Each element of the matrix is either 1 if a given vertex is adjacent to a face or 0 if not.
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1
3,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0
4,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1
5,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0
6,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1
7,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1
9,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
10,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
12,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0
13,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0
14,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
15,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0
16,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
