Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8
0,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,9,0
2,0,0,0,0,0,0,1,1,0
3,0,0,0,0,0,0,2,0,1
4,0,0,0,0,0,1,0,0,0
5,0,0,0,0,1,0,0,0,1
6,0,0,0,0,1,0,0,3,0
7,0,0,0,0,3,0,0,1,0
8,0,0,0,1,0,0,0,2,0
9,0,0,0,1,0,0,4,0,0
10,0,0,0,1,2,0,0,0,0
11,0,0,0,3,0,0,1,0,0
12,0,0,0,7,0,0,0,0,0
13,0,0,1,1,0,0,1,0,0
14,0,0,2,0,0,0,0,1,0
15,0,0,3,1,0,0,0,0,0
16,0,0,4,0,0,0,0,0,1
17,0,1,0,0,0,0,0,1,1
18,0,1,0,0,0,0,0,4,0
19,0,1,0,0,0,0,3,0,0
20,0,1,0,0,1,0,1,0,0
21,0,1,0,0,4,0,0,0,0
22,0,1,0,2,0,0,0,0,0
23,0,1,1,0,0,0,0,0,0
24,1,0,0,0,1,0,0,1,0
25,1,0,0,1,0,0,0,0,0
26,1,0,1,0,0,0,0,0,1
27,2,1,0,0,0,0,0,0,0
28,3,0,0,0,0,0,0,0,1
29,4,0,0,0,0,0,0,1,0
