Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10
0,0,0,0,0,0,0,0,0,0,1,3
1,0,0,0,0,0,0,0,0,0,3,1
2,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,5,0
4,0,0,0,0,0,0,0,3,0,1,0
5,0,0,0,0,0,0,1,0,0,1,0
6,0,0,0,0,0,1,0,0,0,0,2
7,0,0,0,0,0,1,0,0,0,2,0
8,0,0,0,0,0,1,0,4,0,0,0
9,0,0,0,0,0,1,1,1,0,0,0
10,0,0,0,0,0,5,0,0,0,0,0
11,0,0,0,0,1,0,0,1,0,1,0
12,0,0,0,0,2,0,0,0,0,1,1
13,0,0,0,0,2,1,0,0,0,0,0
14,0,0,0,1,0,0,0,0,0,0,5
15,0,0,0,1,0,0,0,1,0,0,0
16,0,0,0,1,0,0,1,0,0,0,2
17,0,0,0,1,1,0,0,0,0,0,1
18,0,0,0,1,2,0,1,0,0,0,0
19,0,0,0,3,0,0,0,0,0,0,1
20,0,0,0,4,0,1,0,0,0,0,0
21,0,0,0,5,0,0,1,0,0,0,0
22,0,0,1,0,0,0,0,0,0,0,1
23,0,0,1,0,0,0,0,1,0,2,0
24,0,0,1,0,0,0,0,5,0,0,0
25,0,0,1,0,0,0,1,2,0,0,0
26,0,0,1,0,0,2,1,0,0,0,0
27,0,0,1,0,1,0,1,0,0,0,0
28,0,0,1,0,2,0,0,1,0,0,0
29,0,0,1,1,0,1,0,0,0,0,0
30,0,0,1,2,0,0,1,0,0,0,0
31,0,1,0,0,0,0,0,0,0,0,4
32,0,1,0,0,0,0,0,0,0,4,0
33,0,1,0,0,0,0,0,2,0,0,0
34,0,1,0,0,0,0,1,0,0,0,1
35,0,1,0,0,0,2,0,0,0,0,0
36,0,1,0,0,1,0,0,0,0,0,0
37,0,1,0,2,0,0,0,0,0,0,0
38,0,1,1,0,0,0,0,0,0,1,0
39,1,0,0,0,0,0,0,0,0,1,1
40,1,0,0,0,0,1,0,0,0,0,0
41,1,0,0,1,0,0,1,0,0,0,0
42,1,0,1,0,0,0,0,1,0,0,0
43,2,0,0,0,0,0,0,1,0,1,0
44,2,0,0,1,0,0,0,0,0,0,1
45,2,0,1,0,0,0,1,0,0,0,0
46,2,1,0,0,0,0,0,0,0,0,0
