Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10
0,0,0,0,0,0,0,0,0,0,0,6
1,0,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,6,0
3,0,0,0,0,0,0,0,0,3,0,0
4,0,0,0,0,0,0,0,2,0,0,0
5,0,0,0,0,0,0,1,0,1,0,1
6,0,0,0,0,0,0,6,0,0,0,0
7,0,0,0,0,0,3,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0,0,0
9,0,0,0,1,0,0,0,0,0,0,2
10,0,0,0,1,0,0,2,0,0,0,0
11,0,0,0,1,0,1,0,0,0,0,0
12,0,0,0,2,0,0,0,0,0,2,0
13,0,0,0,2,0,0,0,0,1,0,0
14,0,0,1,0,0,0,1,0,0,0,0
15,0,0,1,0,0,1,0,0,0,1,0
16,0,0,2,2,0,0,0,0,0,0,0
17,0,0,6,0,0,0,0,0,0,0,0
18,0,2,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,2,0
20,1,0,0,0,0,0,0,0,1,0,0
21,1,0,2,0,0,0,0,0,0,0,0
22,2,0,0,0,0,0,0,0,0,0,2
23,2,0,0,0,0,0,2,0,0,0,0
24,2,0,0,0,0,1,0,0,0,0,0
