# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10
0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,1,0,0,0,0,0,0,0,0,0
10,-2,0,1,1,0,2,2,1,1,2,1,1
11,0,1,0,0,0,0,0,0,0,0,0,0
12,-4,1,3,1,2,3,4,2,3,2,1,2
13,-2,2,0,2,1,0,2,1,0,1,2,1
14,-4,4,3,1,2,0,4,2,3,2,1,2
15,-10,4,3,7,8,6,10,5,3,2,7,5
16,-10,4,3,7,8,6,10,5,9,2,1,5
17,-10,4,9,1,8,6,10,5,3,2,7,5
18,-14,8,3,11,4,6,14,7,9,10,5,7
19,-14,8,9,5,4,6,14,7,3,10,11,7
