Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11
0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,1,0,0
2,0,0,0,1,0,0,0,0,1,0,0,0
3,0,0,0,0,1,0,0,1,0,0,0,0
4,0,0,0,0,0,1,1,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,1
6,0,1,0,0,0,0,0,0,0,0,0,2
7,0,0,0,0,0,0,2,0,0,0,0,1
8,0,0,2,0,0,0,1,0,0,0,0,0
9,0,0,1,0,0,0,0,0,0,0,1,1
10,0,0,1,0,0,0,0,0,0,0,0,3
11,0,0,0,2,1,0,0,0,0,0,0,0
12,0,0,1,0,2,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,2,0,1,0,0
14,0,0,0,0,3,0,0,0,0,0,0,2
15,0,0,3,1,0,0,0,0,0,0,0,0
16,0,0,0,0,1,0,0,0,0,1,1,0
17,0,0,0,0,1,0,0,0,0,0,2,1
18,0,0,0,0,3,0,0,0,0,0,1,0
19,0,0,0,1,0,0,0,0,0,1,0,1
20,0,0,0,0,1,0,0,0,0,1,0,2
21,0,0,0,0,1,0,0,0,0,0,0,5
22,0,0,0,1,0,0,0,0,0,0,0,4
23,0,0,0,0,0,0,0,5,0,0,0,1
24,0,1,0,0,0,4,0,0,0,0,0,0
25,0,0,0,0,1,0,0,0,1,0,0,1
26,0,0,0,0,0,1,0,0,0,2,0,0
27,1,1,0,0,0,0,0,0,0,1,0,0
28,6,0,0,0,0,0,1,0,0,0,0,0
29,0,0,0,0,13,0,0,0,0,0,0,0
30,0,0,0,0,0,1,0,0,0,0,3,0
31,0,0,0,0,6,0,0,0,1,0,0,0
32,0,2,0,0,0,0,0,0,1,0,0,0
33,0,0,0,1,0,0,0,0,0,0,2,0
34,0,0,0,0,0,0,13,0,0,0,0,0
35,3,0,0,0,0,0,0,0,0,1,0,0
36,0,0,1,1,0,1,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,3,0,0,1
38,1,0,0,0,0,2,0,0,0,0,0,0
39,0,2,1,0,0,1,0,0,0,0,0,0
40,1,0,0,3,0,0,0,0,0,0,0,0
41,1,0,0,1,0,0,0,1,0,0,0,0
42,1,6,0,0,0,0,0,0,0,0,0,0
43,0,0,0,2,0,3,0,0,0,0,0,0
44,1,0,0,0,1,0,0,0,0,2,0,0
45,2,0,0,0,0,0,0,0,0,0,1,0
46,0,2,3,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,3,0,1,0,0,0,0
48,0,0,2,0,0,0,0,0,0,0,3,0
49,0,0,0,0,0,0,0,0,0,0,0,13
50,0,0,0,4,0,0,0,0,0,1,0,0
51,0,0,6,0,0,0,0,1,0,0,0,0
52,0,0,0,0,0,0,0,13,0,0,0,0
53,1,0,0,0,5,0,0,0,0,0,0,0
54,0,0,1,0,0,0,0,0,4,0,0,0
55,1,0,1,0,0,0,0,0,1,0,0,0
56,0,0,0,0,2,0,1,0,1,0,0,0
