Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12
0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0,0,0,0,0,0,0,0,0,0,0,1,4
2,0,0,0,0,0,0,0,0,0,0,0,5,0
3,0,0,0,0,0,0,0,0,0,0,1,0,3
4,0,0,0,0,0,0,0,0,0,0,2,1,0
5,0,0,0,0,0,0,0,0,0,0,6,0,0
6,0,0,0,0,0,0,0,0,0,1,1,0,1
7,0,0,0,0,0,0,0,0,0,2,0,1,0
8,0,0,0,0,0,0,0,0,0,6,0,0,0
9,0,0,0,0,0,0,0,0,1,0,0,1,1
10,0,0,0,0,0,0,0,0,1,0,1,0,0
11,0,0,0,0,0,0,0,0,4,0,0,0,0
12,0,0,0,0,0,0,0,1,0,0,0,0,2
13,0,0,0,0,0,0,0,1,0,0,0,2,0
14,0,0,0,0,0,0,0,1,0,1,0,0,0
15,0,0,0,0,0,0,0,4,0,0,0,0,0
16,0,0,0,0,0,0,1,0,0,0,0,0,1
17,0,0,0,0,0,0,2,0,0,0,2,0,0
18,0,0,0,0,0,0,2,0,0,2,0,0,0
19,0,0,0,0,0,0,4,1,0,0,0,0,0
20,0,0,0,0,0,0,10,0,0,0,0,0,0
21,0,0,0,0,0,1,0,0,0,0,0,1,0
22,0,0,0,0,0,1,2,0,0,0,0,0,0
23,0,0,0,0,0,3,0,0,0,0,0,0,0
24,0,0,0,0,1,0,1,1,0,0,0,0,0
25,0,0,0,0,1,1,0,0,1,0,0,0,0
26,0,0,0,0,2,0,0,0,0,0,0,0,2
27,0,0,0,0,2,0,0,0,0,0,0,2,0
28,0,0,0,0,2,0,0,0,0,1,0,0,0
29,0,0,0,0,3,0,1,0,0,0,0,0,0
30,0,0,0,0,8,0,0,0,0,0,0,0,0
31,0,0,0,2,0,0,0,0,0,0,0,0,0
32,0,0,1,0,0,0,0,0,0,0,0,0,0
33,0,1,0,0,0,0,0,0,0,0,0,0,5
34,0,1,0,0,0,0,0,0,0,0,2,0,1
35,0,1,0,0,0,0,0,0,0,2,0,0,1
36,0,1,0,0,0,0,0,0,1,0,0,0,2
37,0,1,0,0,0,0,0,0,1,0,0,2,0
38,0,1,0,0,0,0,0,0,1,1,0,0,0
39,0,1,0,0,0,0,0,1,0,0,1,0,0
40,0,1,0,0,0,0,1,0,0,0,0,1,0
41,0,1,0,0,0,0,3,0,0,0,0,0,0
42,0,1,0,0,0,1,0,0,0,0,0,0,1
43,0,1,0,0,1,0,0,0,0,0,0,0,0
44,2,0,0,0,0,0,0,0,0,0,0,0,0
