Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,0,0,0,0,1,0,0,0,0,0,2,0,0,0
8,0,0,0,0,0,0,1,0,0,0,1,0,0,1
9,0,0,1,0,0,0,2,0,0,0,0,0,0,0
10,0,0,0,3,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,2,0,0
12,0,0,0,0,0,0,3,0,0,0,1,0,0,0
13,0,0,0,0,0,0,0,0,2,0,0,1,0,0
14,0,0,0,1,1,0,0,0,1,0,0,0,0,0
15,0,1,0,0,1,0,0,0,0,0,0,0,1,0
16,0,0,0,0,0,0,0,0,0,0,0,0,2,1
17,0,0,0,0,0,0,0,2,0,0,1,0,0,0
18,0,0,1,0,0,0,0,0,0,1,0,3,0,0
19,0,1,0,0,0,1,0,0,0,0,1,0,0,0
20,0,0,0,0,0,0,0,0,0,3,1,0,0,0
21,0,1,0,0,1,0,0,0,0,0,0,2,0,0
22,0,0,1,0,0,1,0,0,0,0,2,0,0,0
23,0,0,0,0,0,0,0,1,0,0,0,3,0,0
24,0,0,0,0,5,0,0,0,0,0,0,0,0,0
25,0,0,0,1,0,0,0,0,0,0,0,0,0,5
26,0,0,1,0,1,0,0,0,0,1,0,0,0,0
27,0,0,0,0,0,6,0,0,0,0,1,0,0,0
28,0,0,0,1,0,1,2,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,1,0,0,0,0,0,0
30,0,0,1,0,0,4,0,0,0,0,0,0,0,0
31,0,0,0,0,0,2,0,0,0,0,1,0,0,1
32,0,0,0,0,0,3,0,0,1,0,0,0,0,1
33,0,0,15,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,2,0,0,0,1,0,0,0,1,0
35,0,0,1,0,0,0,0,0,0,7,0,0,0,0
36,1,0,0,0,0,1,0,0,0,0,0,0,0,2
37,0,0,0,0,0,2,0,0,0,0,0,0,1,0
38,1,0,0,1,0,0,0,0,0,2,0,0,0,0
39,0,1,0,0,0,0,0,0,5,0,0,0,0,0
40,0,0,0,0,0,15,0,0,0,0,0,0,0,0
41,0,0,3,0,0,0,0,0,0,0,0,3,0,0
42,1,0,0,0,0,0,0,0,0,0,0,0,3,0
43,0,0,0,0,2,0,0,0,0,1,0,1,0,0
44,0,0,0,0,0,1,0,2,1,0,0,0,0,0
45,0,0,0,0,2,0,1,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,0,0,0,2,3,0,0
47,0,0,3,0,1,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,5,0,0,0,0,0,0
49,0,0,0,1,0,0,0,0,0,1,0,2,0,0
50,0,0,0,0,0,0,0,0,0,0,0,1,0,4
51,0,0,0,0,1,1,1,0,0,0,0,0,0,0
52,0,0,0,0,0,7,0,0,1,0,0,0,0,0
53,0,0,0,0,0,0,1,0,0,0,0,0,0,7
54,0,0,1,1,0,0,0,0,0,0,1,0,0,0
55,0,1,5,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,1,3,0,0,0,0,0,0,0,0
57,0,0,0,1,0,0,0,0,0,5,0,0,0,0
58,0,0,0,0,0,0,0,0,0,1,0,0,0,2
59,0,0,0,0,0,0,0,0,0,0,2,1,1,0
60,0,0,0,0,0,0,0,0,0,0,0,4,0,1
61,1,0,1,0,0,0,0,0,0,0,0,0,1,0
62,0,0,0,0,0,0,0,0,0,1,0,7,0,0
63,0,0,0,0,0,0,0,0,0,1,1,1,0,0
64,0,0,0,0,0,0,0,2,3,0,0,0,0,0
