# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-6,2,0,2,0,4,2,4,6,6,4,3,3,6,3
15,-6,2,2,2,2,4,4,2,6,4,4,3,2,4,4
16,-6,2,2,2,4,4,2,4,6,2,4,3,2,4,4
17,-6,2,2,2,4,4,4,2,6,2,4,3,2,4,4
18,-6,2,2,2,4,4,4,2,6,2,4,3,4,4,2
19,-6,2,2,4,2,4,2,4,6,4,2,3,4,4,2
20,-6,2,2,4,4,4,4,2,6,2,2,3,2,4,4
21,-6,2,4,2,2,4,2,4,6,4,4,3,4,2,2
22,-6,2,4,2,4,4,4,2,6,2,4,3,2,2,4
23,-6,2,4,4,2,4,2,4,6,4,2,3,2,2,4
24,-6,2,4,4,2,4,2,4,6,4,2,3,4,2,2
25,-6,2,4,4,2,4,4,2,6,4,2,3,4,2,2
26,-6,2,4,4,4,4,2,4,6,2,2,3,4,2,2
27,-6,2,5,2,5,4,2,4,6,1,4,3,3,1,3
28,-4,3,0,3,0,1,3,1,4,4,1,2,2,4,2
29,-6,3,1,4,2,3,2,4,6,4,2,3,4,5,2
30,-6,3,2,2,1,3,4,2,6,5,4,3,2,4,4
31,-6,3,2,2,4,3,4,2,6,2,4,3,5,4,1
32,-6,3,2,5,4,3,4,2,6,2,1,3,2,4,4
33,-6,3,4,4,2,3,2,4,6,4,2,3,1,2,5
34,-6,3,4,4,2,3,5,1,6,4,2,3,4,2,2
35,-6,3,4,4,5,3,2,4,6,1,2,3,1,2,5
36,-6,3,4,4,5,3,2,4,6,1,2,3,4,2,2
37,-6,3,5,2,4,3,4,2,6,2,4,3,2,1,4
38,-6,3,5,2,4,3,4,2,6,2,4,3,5,1,1
39,-6,4,2,2,4,2,2,4,6,2,4,3,2,4,4
40,-6,4,4,2,2,2,2,4,6,4,4,3,4,2,2
41,-12,4,5,4,10,8,4,8,12,2,8,6,6,7,6
42,-12,4,5,9,10,8,4,8,12,2,3,6,6,7,6
43,-12,4,10,4,5,8,4,8,12,7,8,6,6,2,6
44,-12,4,10,4,5,8,9,3,12,7,8,6,6,2,6
45,-8,6,5,6,5,2,6,2,8,3,2,4,4,3,4
46,-18,6,5,6,10,12,6,12,18,8,12,9,14,13,4
47,-18,6,5,6,10,12,11,7,18,8,12,9,14,13,4
48,-18,6,5,11,10,12,6,12,18,8,7,9,14,13,4
49,-18,6,5,11,10,12,16,2,18,8,7,9,14,13,4
50,-18,6,10,6,5,12,6,12,18,13,12,9,4,8,14
51,-18,6,10,6,5,12,11,7,18,13,12,9,4,8,14
52,-18,6,10,6,10,12,6,12,18,8,12,9,4,8,14
53,-18,6,10,6,10,12,6,12,18,8,12,9,14,8,4
54,-18,6,10,6,10,12,11,7,18,8,12,9,4,8,14
55,-18,6,10,6,10,12,16,2,18,8,12,9,14,8,4
56,-18,6,10,11,5,12,6,12,18,13,7,9,4,8,14
57,-18,6,10,11,10,12,6,12,18,8,7,9,14,8,4
58,-18,6,10,11,15,12,6,12,18,3,7,9,4,8,14
59,-18,6,10,16,5,12,11,7,18,13,2,9,4,8,14
60,-18,6,10,16,10,12,6,12,18,8,2,9,4,8,14
61,-18,6,10,16,15,12,6,12,18,3,2,9,4,8,14
62,-18,6,15,6,10,12,11,7,18,8,12,9,14,3,4
63,-18,6,15,6,10,12,16,2,18,8,12,9,14,3,4
64,-14,8,10,8,10,6,8,6,14,4,6,7,2,4,12
65,-14,8,10,8,10,6,8,6,14,4,6,7,12,4,2
66,-24,8,10,13,20,16,8,16,24,4,11,12,7,14,17
67,-24,8,10,18,20,16,8,16,24,4,6,12,7,14,17
68,-24,8,15,18,20,16,8,16,24,4,6,12,12,9,12
69,-24,8,20,8,10,16,13,11,24,14,16,12,17,4,7
70,-24,8,20,8,10,16,18,6,24,14,16,12,17,4,7
71,-24,8,20,8,15,16,18,6,24,9,16,12,12,4,12
72,-12,9,4,4,5,3,8,4,12,7,8,6,4,8,8
73,-12,9,4,4,8,3,5,7,12,4,8,6,4,8,8
74,-12,9,4,4,8,3,8,4,12,4,8,6,4,8,8
75,-12,9,4,4,8,3,8,4,12,4,8,6,7,8,5
76,-12,9,4,7,8,3,8,4,12,4,5,6,4,8,8
77,-12,9,5,4,5,3,9,3,12,7,8,6,6,7,6
78,-12,9,5,4,10,3,4,8,12,2,8,6,6,7,6
79,-12,9,5,4,10,3,4,8,12,2,8,6,11,7,1
80,-12,9,5,8,4,3,4,8,12,8,4,6,8,7,4
81,-12,9,5,9,5,3,4,8,12,7,3,6,6,7,6
82,-12,9,5,9,10,3,4,8,12,2,3,6,6,7,6
83,-12,9,7,4,8,3,8,4,12,4,8,6,4,5,8
84,-12,9,8,5,4,3,4,8,12,8,7,6,8,4,4
85,-12,9,8,8,4,3,4,8,12,8,4,6,5,4,7
86,-12,9,8,8,4,3,4,8,12,8,4,6,8,4,4
87,-12,9,8,8,4,3,7,5,12,8,4,6,8,4,4
88,-12,9,8,8,7,3,4,8,12,5,4,6,8,4,4
89,-12,9,10,4,5,3,4,8,12,7,8,6,1,2,11
90,-12,9,10,4,5,3,4,8,12,7,8,6,6,2,6
91,-12,9,10,4,5,3,9,3,12,7,8,6,6,2,6
92,-16,12,5,7,10,4,12,4,16,6,9,8,8,11,8
93,-16,12,5,12,10,4,12,4,16,6,4,8,8,11,8
94,-16,12,10,12,5,4,7,9,16,11,4,8,8,6,8
95,-16,12,10,12,5,4,12,4,16,11,4,8,8,6,8
96,-36,12,20,17,25,24,22,14,36,11,19,18,8,16,28
97,-36,12,20,32,25,24,22,14,36,11,4,18,8,16,28
98,-36,12,25,22,20,24,17,19,36,16,14,18,28,11,8
99,-36,12,25,22,20,24,32,4,36,16,14,18,28,11,8
100,-24,18,5,8,10,6,13,11,24,14,16,12,17,19,7
101,-24,18,10,8,10,6,8,16,24,14,16,12,7,14,17
102,-24,18,10,8,10,6,8,16,24,14,16,12,17,14,7
103,-24,18,10,8,15,6,8,16,24,9,16,12,7,14,17
104,-24,18,10,8,15,6,18,6,24,9,16,12,12,14,12
105,-24,18,10,13,5,6,8,16,24,19,11,12,7,14,17
106,-24,18,10,13,20,6,8,16,24,4,11,12,7,14,17
107,-24,18,10,13,20,6,8,16,24,4,11,12,22,14,2
108,-54,18,10,28,20,36,38,16,54,34,26,27,22,44,32
109,-24,18,15,8,10,6,8,16,24,14,16,12,17,9,7
110,-24,18,15,8,15,6,18,6,24,9,16,12,12,9,12
111,-24,18,15,18,10,6,8,16,24,14,6,12,12,9,12
112,-24,18,15,18,15,6,8,16,24,9,6,12,12,9,12
113,-24,18,20,8,10,6,13,11,24,14,16,12,2,4,22
114,-24,18,20,8,10,6,13,11,24,14,16,12,17,4,7
115,-54,18,20,38,10,36,28,26,54,44,16,27,32,34,22
116,-48,21,20,41,40,27,16,32,48,8,7,24,14,28,34
117,-48,21,40,16,20,27,41,7,48,28,32,24,34,8,14
118,-42,24,10,34,20,18,14,28,42,22,8,21,16,32,26
119,-42,24,20,14,10,18,34,8,42,32,28,21,26,22,16
120,-42,24,25,34,35,18,14,28,42,7,8,21,16,17,26
121,-42,24,35,14,25,18,34,8,42,17,28,21,26,7,16
122,-36,27,20,17,25,9,22,14,36,11,19,18,8,16,28
123,-36,27,25,22,20,9,17,19,36,16,14,18,28,11,8
124,-48,36,10,16,20,12,26,22,48,28,32,24,19,38,29
125,-48,36,20,26,10,12,16,32,48,38,22,24,29,28,19
