Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
15,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
16,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
19,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
20,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
21,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
22,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
23,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
24,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
25,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
26,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
27,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
28,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
30,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
31,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
32,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
33,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
34,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
35,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1
36,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
38,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
39,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
41,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
42,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
43,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0
44,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
45,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
46,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
47,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
48,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
49,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
51,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
53,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
55,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
57,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0
58,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
59,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
60,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
61,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
63,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
