Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
3,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
8,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
11,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
12,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
13,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
14,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
16,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
17,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
18,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
19,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
20,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
21,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
22,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
24,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
25,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
26,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
27,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
28,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
29,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
30,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
