Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0
4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
6,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1
7,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1
9,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
10,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0
11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
12,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
14,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0
15,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
16,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
17,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
18,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0
19,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
20,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3
21,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
22,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
23,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
24,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
25,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
26,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
27,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
28,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
29,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0
30,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
31,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0
32,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
33,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
34,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0
35,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
36,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
37,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0
38,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0
