# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-4,1,2,3,4,3,2,3,3,2,2,2,2,1,1,2,1
17,-6,2,3,4,6,2,4,2,2,2,4,2,4,4,4,2,4
18,-6,2,3,4,6,2,4,4,2,4,2,4,2,4,2,2,4
19,-6,2,3,4,6,4,2,2,4,2,4,2,4,2,4,4,2
20,-6,4,3,2,6,2,4,2,2,2,2,4,4,4,4,2,4
21,-6,4,3,2,6,2,4,2,2,2,4,2,4,4,4,2,4
22,-6,4,3,2,6,2,4,2,2,4,4,2,2,4,4,2,4
23,-6,4,3,2,6,4,2,2,2,2,4,2,4,4,4,4,2
24,-6,4,3,2,6,4,2,2,4,2,4,2,4,2,4,4,2
25,-6,4,3,2,6,4,4,4,2,4,2,4,2,4,2,2,2
26,-16,4,8,12,16,3,7,11,15,2,6,10,14,1,5,9,13
27,-20,5,10,15,20,8,13,18,6,11,16,4,9,14,2,7,12
28,-24,6,12,18,24,13,2,8,14,20,9,15,4,10,16,22,11
29,-24,6,12,18,24,13,19,8,14,3,9,15,21,10,16,5,11
30,-24,6,12,18,24,13,19,8,14,20,9,15,4,10,16,5,11
31,-28,7,14,21,28,18,8,15,5,12,19,9,16,23,13,20,10
32,-28,7,14,21,28,18,8,15,22,12,19,9,16,6,13,20,10
33,-28,7,14,21,28,18,25,15,22,12,19,9,16,6,13,3,10
34,-32,8,16,24,32,6,14,22,13,4,12,20,28,19,10,18,26
35,-32,8,16,24,32,6,14,22,13,21,12,20,11,19,10,18,26
36,-32,8,16,24,32,23,14,22,13,4,12,20,28,19,10,18,9
37,-32,8,16,24,32,23,14,22,13,21,12,20,11,19,10,18,9
38,-36,9,18,27,36,11,3,12,21,30,22,14,6,15,24,33,25
39,-36,9,18,27,36,11,20,12,21,13,22,14,23,15,24,16,25
40,-36,9,18,27,36,11,20,12,21,30,22,14,6,15,24,16,25
