# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 + a_16x_16 + a_17x_17 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-4,2,2,1,1,3,2,2,2,2,1,3,3,2,2,4,3,2,1
19,-6,2,2,2,2,2,4,2,4,2,4,4,4,4,4,6,2,3,4
20,-6,2,2,2,2,2,4,4,2,2,4,4,4,4,4,6,2,3,4
21,-6,2,2,2,2,4,4,2,4,2,2,4,4,4,4,6,2,3,4
22,-6,2,2,2,4,2,2,2,4,4,4,2,4,4,4,6,2,3,4
23,-6,2,2,2,4,2,4,2,4,2,4,2,4,4,4,6,2,3,4
24,-6,2,2,2,4,2,4,4,2,2,4,2,4,4,4,6,2,3,4
25,-6,2,2,2,4,4,4,2,4,2,2,2,4,4,4,6,2,3,4
26,-6,2,2,4,2,2,2,2,4,4,4,4,2,4,4,6,2,3,4
27,-6,2,2,4,2,2,4,2,4,2,4,4,2,4,4,6,2,3,4
28,-6,2,2,4,2,4,2,2,4,4,2,4,2,4,4,6,2,3,4
29,-6,2,2,4,2,4,4,2,4,2,2,4,2,4,4,6,2,3,4
30,-6,2,2,4,4,2,2,4,2,4,4,2,2,4,4,6,2,3,4
31,-6,2,2,4,4,2,4,2,4,2,4,2,2,4,4,6,2,3,4
32,-6,2,2,4,4,2,4,2,4,2,4,2,2,4,4,6,4,3,2
33,-6,2,2,4,4,2,4,4,2,2,4,2,2,4,4,6,2,3,4
34,-6,2,4,2,2,2,2,4,2,4,4,4,4,2,4,6,2,3,4
35,-6,2,4,2,2,2,2,4,2,4,4,4,4,2,4,6,4,3,2
36,-6,2,4,2,2,2,4,4,2,2,4,4,4,2,4,6,4,3,2
37,-6,2,4,2,4,2,2,4,2,4,4,2,4,2,4,6,4,3,2
38,-6,2,4,2,4,2,4,4,2,2,4,2,4,2,4,6,4,3,2
39,-6,2,4,4,2,2,4,2,4,2,4,4,2,2,4,6,4,3,2
40,-6,2,4,4,2,4,2,4,2,4,2,4,2,2,4,6,4,3,2
41,-6,2,4,4,4,2,4,4,2,2,4,2,2,2,4,6,4,3,2
42,-6,2,4,4,4,4,2,4,2,4,2,2,2,2,4,6,2,3,4
43,-6,2,4,4,4,4,2,4,2,4,2,2,2,2,4,6,4,3,2
44,-6,2,4,4,4,4,4,2,4,2,2,2,2,2,4,6,2,3,4
45,-30,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,13,15,17
46,-4,3,3,2,3,2,2,2,2,2,2,1,2,1,1,4,3,2,1
47,-26,3,6,9,12,15,18,21,5,8,11,14,17,20,23,26,10,13,16
48,-6,4,2,2,2,2,2,4,2,4,4,4,4,4,2,6,4,3,2
49,-6,4,2,2,2,2,4,2,4,2,4,4,4,4,2,6,2,3,4
50,-6,4,2,2,2,2,4,4,2,2,4,4,4,4,2,6,2,3,4
51,-6,4,2,2,4,2,2,2,4,4,4,2,4,4,2,6,2,3,4
52,-6,4,2,2,4,2,2,2,4,4,4,2,4,4,2,6,4,3,2
53,-6,4,2,2,4,2,4,2,4,2,4,2,4,4,2,6,2,3,4
54,-6,4,2,2,4,2,4,2,4,2,4,2,4,4,2,6,4,3,2
55,-6,4,2,2,4,4,2,2,4,4,2,2,4,4,2,6,2,3,4
56,-6,4,2,4,2,4,4,4,2,2,2,4,2,4,2,6,2,3,4
57,-6,4,2,4,4,2,2,4,2,4,4,2,2,4,2,6,2,3,4
58,-6,4,2,4,4,2,4,4,2,2,4,2,2,4,2,6,2,3,4
59,-6,4,2,4,4,4,2,2,4,4,2,2,2,4,2,6,2,3,4
60,-6,4,2,4,4,4,2,2,4,4,2,2,2,4,2,6,4,3,2
61,-6,4,2,4,4,4,2,4,2,4,2,2,2,4,2,6,2,3,4
62,-6,4,2,4,4,4,2,4,2,4,2,2,2,4,2,6,4,3,2
63,-6,4,2,4,4,4,4,2,4,2,2,2,2,4,2,6,2,3,4
64,-6,4,2,4,4,4,4,4,2,2,2,2,2,4,2,6,2,3,4
65,-6,4,2,4,4,4,4,4,2,2,2,2,2,4,2,6,4,3,2
66,-6,4,4,2,2,2,2,4,2,4,4,4,4,2,2,6,4,3,2
67,-6,4,4,2,2,2,4,2,4,2,4,4,4,2,2,6,2,3,4
68,-6,4,4,2,2,4,2,4,2,4,2,4,4,2,2,6,4,3,2
69,-6,4,4,2,4,4,2,4,2,4,2,2,4,2,2,6,4,3,2
70,-6,4,4,4,4,2,4,4,2,2,4,2,2,2,2,6,2,3,4
71,-6,4,4,4,4,2,4,4,2,2,4,2,2,2,2,6,4,3,2
72,-22,4,8,12,16,20,5,9,13,17,2,6,10,14,18,22,7,11,15
73,-60,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,45,30,15
74,-18,5,10,15,1,6,11,16,2,7,12,17,3,8,13,18,4,9,14
75,-56,5,10,15,20,25,30,35,21,26,31,36,41,46,51,56,42,28,14
76,-52,6,12,18,24,30,17,23,29,35,22,28,34,40,46,52,39,26,13
77,-52,6,12,18,24,30,36,23,29,16,22,28,34,40,46,52,20,26,32
78,-52,6,12,18,24,30,36,23,29,16,22,28,34,40,46,52,39,26,13
79,-48,7,14,21,9,16,23,30,18,25,32,39,27,34,41,48,36,24,12
80,-48,7,14,21,28,16,23,30,18,25,32,20,27,34,41,48,36,24,12
81,-48,7,14,21,28,35,23,30,18,25,13,20,27,34,41,48,36,24,12
82,-48,7,14,21,28,35,42,30,18,6,13,20,27,34,41,48,36,24,12
83,-44,8,16,24,13,21,10,18,26,34,23,31,20,28,36,44,14,22,30
84,-44,8,16,24,13,21,10,18,26,34,23,31,20,28,36,44,33,22,11
85,-44,8,16,24,13,21,29,18,26,15,23,31,20,28,36,44,14,22,30
86,-44,8,16,24,13,21,29,18,26,15,23,31,20,28,36,44,33,22,11
87,-44,8,16,24,32,21,10,18,26,34,23,12,20,28,36,44,33,22,11
88,-44,8,16,24,32,21,29,18,26,15,23,12,20,28,36,44,14,22,30
89,-44,8,16,24,32,21,29,18,26,15,23,12,20,28,36,44,33,22,11
90,-44,8,16,24,32,21,29,37,7,15,23,12,20,28,36,44,14,22,30
91,-44,8,16,24,32,40,29,18,26,15,4,12,20,28,36,44,14,22,30
92,-44,8,16,24,32,40,29,18,26,15,4,12,20,28,36,44,33,22,11
93,-40,9,18,8,17,26,16,25,15,24,14,23,32,22,31,40,11,20,29
94,-40,9,18,8,17,26,16,25,15,24,14,23,32,22,31,40,30,20,10
95,-40,9,18,27,17,26,16,25,15,24,14,23,13,22,31,40,30,20,10
96,-40,9,18,27,17,26,35,25,15,5,14,23,13,22,31,40,30,20,10
97,-36,10,20,11,21,12,22,13,23,14,24,15,25,16,26,36,8,18,28
98,-36,10,20,11,21,12,22,13,23,14,24,15,25,16,26,36,27,18,9
99,-36,10,20,11,21,12,22,32,4,14,24,15,25,16,26,36,8,18,28
100,-36,10,20,11,21,31,22,13,23,14,5,15,25,16,26,36,8,18,28
101,-36,10,20,11,21,31,22,13,23,14,5,15,25,16,26,36,27,18,9
102,-36,10,20,30,21,12,3,13,23,33,24,15,6,16,26,36,27,18,9
103,-36,10,20,30,21,12,22,13,23,14,24,15,6,16,26,36,8,18,28
104,-36,10,20,30,21,12,22,13,23,14,24,15,6,16,26,36,27,18,9
105,-36,10,20,30,21,12,22,32,4,14,24,15,6,16,26,36,8,18,28
106,-74,10,20,30,40,50,60,32,42,14,24,34,44,54,64,74,46,37,28
107,-32,11,3,14,6,17,9,20,12,23,15,26,18,29,21,32,24,16,8
108,-32,11,22,14,6,17,9,20,12,23,15,26,18,10,21,32,5,16,27
109,-32,11,22,14,6,17,9,20,12,23,15,26,18,10,21,32,24,16,8
110,-32,11,22,14,6,17,28,20,12,4,15,26,18,10,21,32,24,16,8
111,-32,11,22,14,25,17,9,20,12,23,15,7,18,10,21,32,5,16,27
112,-32,11,22,14,25,17,9,20,12,23,15,7,18,10,21,32,24,16,8
113,-32,11,22,14,25,17,28,20,12,4,15,7,18,10,21,32,24,16,8
114,-28,12,5,17,10,22,15,8,20,13,6,18,11,23,16,28,21,14,7
115,-28,12,24,17,10,22,15,8,20,13,6,18,11,4,16,28,2,14,26
116,-28,12,24,17,10,22,15,8,20,13,6,18,11,4,16,28,21,14,7
117,-66,12,24,36,29,22,15,27,39,51,44,37,30,42,54,66,21,33,45
118,-66,12,24,36,48,22,15,27,39,51,44,18,30,42,54,66,21,33,45
119,-66,12,24,36,48,22,15,27,39,51,44,18,30,42,54,66,40,33,26
120,-66,12,24,36,48,22,34,27,39,32,44,18,30,42,54,66,21,33,45
121,-66,12,24,36,48,22,34,27,39,32,44,18,30,42,54,66,40,33,26
122,-66,12,24,36,48,22,34,46,20,32,44,18,30,42,54,66,21,33,45
123,-66,12,24,36,48,22,34,46,20,32,44,18,30,42,54,66,40,33,26
124,-66,12,24,36,48,41,53,27,39,13,25,18,30,42,54,66,40,33,26
125,-66,12,24,36,48,60,34,46,20,32,6,18,30,42,54,66,40,33,26
126,-66,12,24,36,48,60,53,27,39,13,6,18,30,42,54,66,40,33,26
127,-66,12,24,36,48,60,53,46,20,13,6,18,30,42,54,66,40,33,26
128,-24,13,7,20,14,8,2,15,9,22,16,10,4,17,11,24,18,12,6
129,-24,13,7,20,14,8,21,15,9,3,16,10,4,17,11,24,18,12,6
130,-62,13,26,20,14,27,40,34,28,22,35,48,42,36,49,62,18,31,44
131,-20,14,9,4,18,13,8,3,17,12,7,2,16,11,6,20,15,10,5
132,-58,14,28,23,18,32,46,22,36,12,26,40,35,30,44,58,34,29,24
133,-96,14,28,23,37,32,46,60,36,50,64,59,73,68,82,96,72,48,24
134,-58,14,28,23,37,51,46,22,36,12,7,21,35,30,44,58,34,29,24
135,-58,14,28,23,37,51,46,41,17,12,7,21,35,30,44,58,34,29,24
136,-58,14,28,42,18,32,8,22,36,50,26,40,16,30,44,58,34,29,24
137,-58,14,28,42,18,32,27,22,36,31,26,40,16,30,44,58,15,29,43
138,-58,14,28,42,18,32,46,22,36,12,26,40,16,30,44,58,34,29,24
139,-58,14,28,42,37,32,46,22,36,12,26,21,16,30,44,58,34,29,24
140,-96,14,28,42,56,32,27,41,55,69,64,40,54,68,82,96,72,48,24
141,-96,14,28,42,56,32,46,41,55,50,64,40,54,68,82,96,72,48,24
142,-54,15,30,26,22,18,14,29,25,40,36,32,28,24,39,54,12,27,42
143,-54,15,30,26,41,18,14,29,25,40,36,13,28,24,39,54,12,27,42
144,-54,15,30,26,41,18,33,29,25,21,36,13,28,24,39,54,12,27,42
145,-54,15,30,26,41,18,33,48,6,21,36,13,28,24,39,54,12,27,42
146,-50,16,13,29,26,42,39,17,33,11,8,24,21,37,34,50,28,25,22
147,-50,16,13,29,26,42,39,36,14,11,8,24,21,37,34,50,28,25,22
148,-50,16,32,10,26,23,20,17,33,30,27,24,40,18,34,50,9,25,41
149,-50,16,32,10,26,23,20,36,14,30,27,24,40,18,34,50,9,25,41
150,-50,16,32,10,26,42,20,17,33,30,8,24,40,18,34,50,9,25,41
151,-50,16,32,10,26,42,20,17,33,30,8,24,40,18,34,50,28,25,22
152,-50,16,32,10,26,42,20,36,14,30,8,24,40,18,34,50,28,25,22
153,-50,16,32,29,26,42,20,36,14,30,8,24,21,18,34,50,28,25,22
154,-50,16,32,29,26,42,39,17,33,11,8,24,21,18,34,50,28,25,22
155,-50,16,32,29,26,42,39,36,14,11,8,24,21,18,34,50,28,25,22
156,-88,16,32,29,26,42,58,36,52,30,46,62,59,56,72,88,28,44,60
157,-88,16,32,29,26,42,58,36,52,30,46,62,59,56,72,88,66,44,22
158,-88,16,32,48,64,42,39,55,33,49,46,24,40,56,72,88,66,44,22
159,-88,16,32,48,64,42,58,55,33,30,46,24,40,56,72,88,66,44,22
160,-88,16,32,48,64,61,39,55,33,49,27,24,40,56,72,88,66,44,22
161,-88,16,32,48,64,61,77,55,33,11,27,24,40,56,72,88,66,44,22
162,-88,16,32,48,64,80,58,55,33,30,8,24,40,56,72,88,66,44,22
163,-88,16,32,48,64,80,77,55,33,11,8,24,40,56,72,88,66,44,22
164,-46,17,34,13,11,28,26,24,22,20,18,35,33,12,29,46,6,23,40
165,-46,17,34,13,30,28,26,24,22,20,18,16,33,12,29,46,6,23,40
