# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7
0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,1,0,0,0
4,0,0,0,0,1,0,0,0,0
5,0,0,0,1,0,0,0,0,0
6,0,0,1,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0
8,-3,1,2,1,1,2,2,1,2
9,-3,1,2,2,1,2,1,1,2
10,-9,1,2,3,4,5,6,7,8
11,-3,2,1,1,2,1,2,2,1
12,-3,2,1,2,2,1,1,2,1
13,-9,2,4,6,8,1,3,5,7
14,-9,4,8,3,7,2,6,1,5
15,-18,4,8,12,7,11,6,10,14
16,-9,5,1,6,2,7,3,8,4
17,-9,7,5,3,1,8,6,4,2
18,-18,7,14,12,10,8,6,4,11
19,-9,8,7,6,5,4,3,2,1
20,-18,8,7,6,14,4,12,11,10
21,-18,10,11,12,4,14,6,7,8
22,-18,11,4,6,8,10,12,14,7
23,-18,14,10,6,11,7,12,8,4
