Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7
0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,0,0,1
2,0,1,0,0,0,0,1,0
3,0,0,0,1,1,0,0,0
4,0,1,0,0,0,0,0,2
5,0,0,3,0,0,0,0,0
6,0,0,0,0,2,0,0,1
7,0,0,1,0,0,0,0,3
8,0,0,1,0,0,0,1,1
9,1,0,0,2,0,0,0,0
10,0,2,0,0,1,0,0,0
11,9,0,0,0,0,0,0,0
12,0,0,0,0,9,0,0,0
13,1,4,0,0,0,0,0,0
14,0,0,1,0,3,0,0,0
15,0,0,0,0,0,1,3,0
16,0,0,0,0,1,1,1,0
17,4,0,0,0,1,0,0,0
18,2,0,0,0,0,0,1,0
19,0,0,0,0,0,3,0,0
20,0,0,0,0,0,0,9,0
21,1,1,0,0,0,1,0,0
22,1,0,1,0,1,0,0,0
23,0,0,0,0,4,0,1,0
24,0,0,0,1,0,0,2,0
25,0,3,1,0,0,0,0,0
26,3,0,0,0,0,1,0,0
27,0,1,1,1,0,0,0,0
28,0,9,0,0,0,0,0,0
29,0,0,0,0,0,0,0,9
30,0,0,0,3,0,1,0,0
31,0,0,0,1,0,1,0,1
32,0,0,0,0,0,0,4,1
33,0,1,0,4,0,0,0,0
34,0,0,0,9,0,0,0,0
35,0,0,0,1,0,0,0,4
