Group,$g_0$,backend,Computation Time,\# Faces,\# Vertices
c2,0,ppl,0.0279240608215,1,1
c3,0,ppl,0.0104768276215,4,3
c4,0,ppl,0.0113551616669,5,4
c2c2,"0,0",ppl,0.0147399902344,4,3
c5,0,ppl,0.0126011371613,8,10
c3c2,"0,0",ppl,0.017233133316,9,9
c7,0,ppl,0.0178239345551,12,23
c8,0,ppl,0.0204470157623,15,22
c2c4,"0,0",ppl,0.0205230712891,11,9
c2c2c2,"0,0,0",ppl,0.0191950798035,8,7
c9,0,ppl,0.0291938781738,24,36
c3c3,"0,0",ppl,0.0265669822693,24,12
c5c2,"0,0",ppl,0.0342140197754,21,37
c11,0,ppl,0.0486478805542,32,85
c3c4,"0,0",ppl,0.0804731845856,57,52
c3c2c2,"0,0,0",ppl,0.0435891151428,25,29
c13,0,ppl,0.0963981151581,84,130
c7c2,"0,0",ppl,0.106971979141,63,111
c5c3,"0,0",ppl,0.849233150482,322,155
c16,0,ppl,0.614083051682,205,170
c2c8,"0,0",ppl,0.159458875656,81,69
c4c4,"0,0",ppl,0.201256036758,171,37
c2c2c4,"0,0,0",ppl,0.097795009613,31,19
c2c2c2c2,"0,0,0,0",ppl,0.071928024292,16,15
c17,0,ppl,3.47758984566,496,328
c9c2,"0,0",ppl,65.8479540348,597,225
c3c3c2,"0,0,0",ppl,23.9408171177,897,81
c19,0,ppl,41.4065508842,1586,501
Group,$g_0$,backend,Computation Time,\# Faces,\# Vertices
