Group,$g_0$,\# Constraints,\# Reduced Constraints,Computation Time,Reduced Time
c2,0,2,1,0.08643102645874023,0.032299041748046875
c3,0,6,3,0.6933751106262207,0.3166520595550537
c4,0,12,4,0.3844931125640869,0.36295509338378906
c2c2,0,12,3,0.12176299095153809,0.1321260929107666
c5,0,20,6,1.0158169269561768,0.7988519668579102
c3c2,0,30,7,1.754770040512085,0.9732489585876465
c7,0,42,11,2.2699217796325684,1.3112359046936035
c8,0,56,12,0.8866941928863525,0.338580846786499
c2c4,0,56,9,0.7206850051879883,0.9307708740234375
c2c2c2,0,56,7,0.1370530128479004,0.211561918258667
c9,0,72,18,5.52883505821228,4.489331960678101
c3c3,0,72,12,5.474591970443726,3.3967108726501465
c5c2,0,90,17,5.543421983718872,3.420274019241333
c11,0,110,25,5.736620903015137,5.634258031845093
c3c4,0,132,26,12.538648128509521,10.189280986785889
c3c2c2,0,132,17,0.4836690425872803,2.570685863494873
c13,0,156,34,6.876137971878052,4.507562875747681
c7c2,0,182,33,11.87497091293335,5.630568027496338
c5c3,0,210,45,49.37364077568054,35.26942801475525
c16,0,240,44,29.00044894218445,26.853228092193604
c2c8,0,240,33,14.068100929260254,14.375725030899048
c4c4,0,240,37,28.391762018203735,4.729628086090088
c2c2c4,0,240,19,5.6739490032196045,2.894273042678833
c2c2c2c2,0,240,15,0.2606189250946045,0.12499189376831055
c17,0,272,56,54.85539388656616,62.59851288795471
c9c2,0,306,55,105.0273871421814,107.0682361125946
c3c3c2,0,306,49,137.06986093521118,128.70758295059204
c19,0,342,69,225.80728888511658,185.08378911018372
