count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24
1,-4.33,2.11,2.17,1.33,1.39,2.00,1.33,2.67,2.00,3.33,1.94,3.28,1.89,1.06,1.11,1.00,3.22,1.67,2.44,2.33,2.39,3.00,2.33,2.22,3.00,2.94
5,-13.00,11.00,6.50,9.00,11.00,7.00,9.00,5.00,7.00,3.00,5.00,7.50,3.00,5.50,1.00,10.00,12.00,8.00,10.00,6.00,8.00,4.00,6.00,2.00,4.00,2.00
3,-6.50,5.00,3.25,3.50,1.75,2.00,1.33,2.67,5.25,5.50,3.75,4.00,2.25,2.50,4.00,1.00,2.50,3.83,4.25,4.50,2.75,3.00,1.25,1.50,5.17,4.75
17,-13.00,9.00,6.50,5.00,9.00,1.00,5.00,10.00,1.00,6.00,10.00,2.00,6.00,11.00,2.00,7.00,11.00,3.00,7.00,12.00,3.00,8.00,12.00,4.00,8.00,4.00
1,-5.78,1.33,2.89,2.67,2.78,1.11,4.11,2.44,4.00,3.78,1.00,2.22,2.33,3.56,3.67,2.00,2.11,3.33,3.44,4.67,4.78,3.11,1.78,4.44,1.67,3.00
1,-6.50,2.25,3.25,4.50,5.50,3.50,4.50,2.50,3.50,4.75,4.13,2.13,1.50,4.38,3.75,1.75,2.75,4.00,5.00,3.00,2.38,2.00,3.00,4.25,2.00,1.00
1,-8.67,3.67,4.33,7.33,3.67,6.67,3.00,6.00,2.33,5.33,3.83,4.67,1.00,4.00,2.50,3.33,6.17,2.67,7.67,2.00,4.83,1.33,6.33,5.00,5.67,5.00
1,-4.33,1.33,2.17,2.67,1.33,3.28,2.67,3.17,2.56,2.33,1.00,2.22,1.61,2.11,1.50,2.00,2.83,1.17,2.72,1.06,3.33,1.67,1.78,3.00,1.67,3.00
1,-5.20,3.20,2.60,3.80,1.90,1.80,1.20,2.40,1.80,3.00,2.40,3.60,3.00,1.60,1.00,2.20,4.20,2.80,2.20,3.40,2.80,1.40,3.40,2.00,4.00,3.30
3,-13.00,2.00,6.50,4.00,2.00,6.00,4.00,8.00,6.00,10.00,8.00,12.00,10.00,1.00,5.50,3.00,7.50,5.00,3.00,7.00,5.00,9.00,7.00,11.00,9.00,11.00
1,-13.00,5.00,6.50,3.50,5.00,2.00,10.00,7.00,8.50,5.50,7.00,4.00,12.00,9.00,4.00,7.50,9.00,6.00,1.00,11.00,6.00,9.50,4.50,8.00,3.00,8.00
3,-13.00,6.00,6.50,12.00,6.00,5.00,5.50,11.00,5.00,4.00,4.50,10.00,10.50,3.00,3.50,9.00,9.50,2.00,2.50,8.00,8.50,1.00,8.00,7.00,7.50,7.00
1,-6.50,3.50,3.25,3.75,3.50,4.00,3.75,1.00,4.00,4.50,1.00,4.75,4.50,1.75,1.50,2.00,5.00,5.50,2.00,2.50,5.50,2.75,2.50,3.00,2.75,3.00
4,-13.00,8.00,6.50,3.00,8.00,11.00,9.50,6.00,4.50,1.00,6.00,9.00,7.50,4.00,9.00,12.00,4.00,7.00,5.50,2.00,7.00,10.00,8.50,5.00,3.50,5.00
1,-5.57,3.57,2.79,1.57,2.64,3.29,2.50,3.14,3.29,3.00,4.07,1.00,3.93,4.57,3.79,2.57,1.79,2.43,1.64,2.29,1.50,4.00,2.29,2.00,3.07,2.93
1,-8.67,2.67,4.33,5.33,7.00,5.11,1.00,2.00,3.67,4.67,3.44,4.44,6.11,4.22,3.00,4.00,5.67,6.67,2.56,3.56,5.22,3.33,5.00,6.00,7.67,1.67
1,-5.20,1.20,2.60,2.40,1.20,3.60,2.40,2.20,1.00,3.40,2.20,2.00,3.40,3.20,2.00,1.80,3.20,3.00,1.80,1.60,3.00,2.80,4.20,4.00,2.80,4.00
1,-6.50,4.38,3.25,2.25,2.75,5.00,5.50,4.50,5.00,4.00,2.88,3.50,4.00,3.00,3.50,2.50,3.00,2.00,2.50,1.50,3.63,4.25,1.50,2.13,1.00,3.75
3,-13.00,9.00,6.50,5.00,2.50,1.00,11.50,10.00,7.50,6.00,3.50,2.00,6.00,11.00,8.50,7.00,4.50,3.00,7.00,12.00,9.50,8.00,5.50,4.00,1.50,10.50
1,-7.09,5.09,3.55,3.09,3.91,5.82,1.91,3.82,2.27,4.18,5.00,4.55,3.00,2.55,1.00,2.91,6.09,3.27,4.09,1.27,2.09,4.00,4.82,2.00,5.18,3.18
1,-4.33,2.67,2.17,1.00,2.67,1.50,3.17,2.00,2.94,1.78,1.28,3.00,1.42,1.33,2.28,2.56,2.06,2.33,2.92,2.83,3.06,3.33,1.39,1.67,1.17,1.67
1,-5.20,3.20,2.60,2.93,2.33,2.67,3.80,2.40,1.80,3.87,3.27,3.60,1.27,1.60,1.00,1.33,4.20,2.80,3.93,2.53,1.93,2.27,3.40,2.00,1.40,2.87
3,-13.00,10.00,6.50,7.00,10.00,4.00,7.00,7.50,4.00,11.00,1.00,8.00,4.50,5.00,8.00,2.00,5.00,5.50,8.50,9.00,12.00,6.00,9.00,3.00,6.00,3.00
2,-6.50,4.00,3.25,1.50,2.38,5.50,4.75,3.00,2.25,3.75,1.37,4.50,3.75,2.00,1.25,2.75,5.25,3.50,2.75,1.00,5.13,5.00,4.25,2.50,1.75,4.13
1,-8.67,2.00,4.33,4.00,3.44,6.00,5.44,2.22,1.67,4.22,3.67,3.33,5.67,5.33,7.67,4.44,1.00,6.44,3.00,2.67,5.00,4.67,7.00,6.67,3.22,5.22
1,-3.00,2.00,1.50,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00
1,-8.67,5.00,4.33,5.67,5.00,2.00,5.67,2.67,6.33,3.33,2.67,4.00,7.67,4.67,4.00,5.33,4.67,6.00,1.00,6.67,6.00,3.00,2.33,3.67,3.00,3.67
4,-13.00,5.00,6.50,10.00,5.00,2.00,10.00,7.00,2.00,5.50,7.00,4.00,12.00,9.00,4.00,7.50,9.00,6.00,1.00,11.00,6.00,3.00,11.00,8.00,3.00,8.00
1,-6.50,3.00,3.25,2.75,3.00,2.50,2.75,2.25,2.50,2.00,5.50,5.00,5.25,1.50,1.75,4.50,4.75,4.25,1.25,4.00,1.00,3.75,4.00,3.50,3.75,3.50
