count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21
1,-4.18,2.68,1.18,1.77,1.32,2.95,1.45,1.00,1.59,2.18,2.77,1.27,2.91,1.41,2.00,2.59,3.18,2.73,1.23,2.86,2.41,3.00,1.50
1,-7.67,4.67,1.67,6.33,3.33,2.25,5.00,2.00,6.67,3.67,4.50,5.33,2.33,3.17,4.00,1.00,5.67,2.67,5.42,4.33,1.33,6.00,3.00
1,-7.67,2.00,4.00,4.08,2.25,2.33,4.33,6.33,4.50,2.67,4.67,6.67,1.00,3.00,5.00,3.17,1.33,3.33,5.33,5.42,3.58,3.67,5.67
1,-11.50,7.00,8.25,9.50,5.00,6.25,7.50,3.00,4.25,5.50,1.00,8.00,3.50,10.50,6.00,7.25,8.50,4.00,5.25,6.50,2.00,3.25,4.50
18,-23.00,14.00,5.00,19.00,10.00,1.00,15.00,6.00,20.00,11.00,2.00,16.00,7.00,21.00,12.00,3.00,17.00,8.00,22.00,13.00,4.00,18.00,9.00
1,-5.75,3.63,1.50,2.25,3.00,3.75,4.50,3.33,1.21,1.00,1.75,2.50,3.25,4.00,4.75,4.54,2.42,1.25,2.00,2.75,3.50,4.25,2.13
1,-7.14,4.00,2.45,4.07,4.90,4.14,1.00,5.00,2.66,4.28,5.10,5.14,2.00,2.03,2.86,4.48,2.14,6.14,3.00,2.24,3.07,4.69,3.14
3,-7.67,4.00,4.17,4.33,4.50,4.67,1.00,5.00,5.17,1.50,5.50,5.67,2.00,2.17,6.17,2.50,2.67,6.67,3.00,3.17,3.33,3.50,3.67
1,-5.75,3.00,4.36,3.25,2.96,3.50,1.57,3.75,1.00,4.00,1.25,2.61,3.14,4.50,1.75,4.75,2.00,4.18,2.25,2.79,2.50,1.39,2.75
4,-7.67,4.67,1.67,6.33,3.33,5.44,5.00,2.00,6.67,3.67,3.22,5.33,2.33,4.44,4.00,1.00,5.67,2.67,2.22,4.33,1.33,6.00,3.00
1,-4.60,2.60,2.90,3.20,1.20,1.50,1.80,3.25,2.40,1.55,1.85,1.00,3.60,2.75,3.05,2.20,1.35,2.80,3.10,3.40,1.40,1.70,2.00
1,-7.67,3.17,6.33,5.67,5.00,4.33,3.67,3.00,2.33,3.58,1.00,2.25,5.42,6.67,4.08,5.33,4.67,4.00,3.33,2.67,2.00,1.33,4.50
1,-4.60,1.06,2.11,3.17,1.60,2.00,1.74,2.80,3.20,3.60,1.37,2.43,2.17,3.23,1.00,1.40,1.80,2.86,2.60,3.00,1.43,2.49,3.54
2,-11.50,8.50,5.50,2.50,5.25,8.00,5.00,2.00,10.50,7.50,4.50,1.50,10.00,7.00,4.00,1.00,9.50,6.50,3.50,6.25,9.00,6.00,3.00
1,-11.50,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,4.25,5.25,6.25,7.25,2.50,3.50,4.50,5.50,6.50,7.50,8.50,9.50,10.50
1,-7.67,3.67,3.50,3.33,3.17,3.00,6.67,2.67,6.33,2.33,2.17,2.00,5.67,5.50,5.33,1.33,5.00,1.00,4.67,4.50,4.33,4.17,4.00
1,-6.57,2.57,1.86,4.43,3.71,3.00,5.57,1.57,2.50,3.43,4.36,2.00,4.57,2.21,3.14,4.07,5.00,1.00,3.57,2.86,2.14,4.71,4.00
1,-7.67,3.33,6.67,2.33,5.67,1.33,4.67,2.25,3.67,3.17,2.67,6.00,1.67,5.00,4.50,4.00,5.42,3.00,6.33,2.00,5.33,1.00,4.33
1,-11.50,3.00,6.00,3.25,6.25,3.50,6.50,9.50,1.00,4.00,7.00,4.25,7.25,4.50,7.50,10.50,2.00,5.00,8.00,5.25,8.25,5.50,8.50
1,-7.67,4.00,4.17,4.33,4.50,4.67,1.00,5.00,1.33,5.33,5.50,5.67,2.00,2.17,2.33,6.33,2.67,6.67,3.00,3.17,3.33,3.50,3.67
33,-23.00,22.00,21.00,20.00,19.00,18.00,17.00,16.00,15.00,14.00,13.00,12.00,11.00,10.00,9.00,8.00,7.00,6.00,5.00,4.00,3.00,2.00,1.00
1,-4.60,1.16,1.40,1.64,2.80,1.20,1.44,2.60,1.00,2.16,2.40,1.72,2.88,2.20,2.44,3.60,2.00,3.16,3.40,1.80,2.96,3.20,3.44
1,-4.79,3.50,2.21,3.79,2.50,1.21,2.79,2.46,1.17,1.79,2.42,1.13,3.67,2.37,3.00,3.62,2.33,2.00,3.58,2.29,1.00,2.58,1.29
1,-6.90,4.10,5.90,3.10,4.90,4.40,3.90,4.55,2.90,4.70,1.90,4.85,2.05,5.00,2.20,4.00,2.35,3.00,2.50,2.00,3.80,1.00,2.80
1,-7.67,4.33,1.00,5.33,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50,2.17,2.67,3.17,3.67,4.17,4.67,5.17,5.67,2.33,6.67,3.33
