count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10
8,-4.00,1.33,1.00,2.33,2.67,2.00,2.00,1.00,3.00,2.00,3.00,1.67
30,-4.00,2.67,3.00,3.00,1.33,2.00,2.00,3.00,1.00,2.00,1.00,1.00
18,-4.00,1.33,3.00,1.33,2.67,2.00,1.33,2.67,1.00,2.67,1.33,2.67
7,-4.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,2.00,1.00,3.00
28,-4.00,1.33,1.00,1.00,2.67,2.00,2.00,1.00,3.00,2.00,3.00,3.00
1,-4.00,2.67,3.00,1.67,1.33,2.00,2.67,2.33,1.00,1.33,1.67,2.33
3,-4.00,2.67,1.00,2.67,1.33,2.00,2.67,2.33,3.00,1.33,1.67,1.33
18,-4.00,2.67,3.00,2.67,1.33,2.00,2.67,1.33,1.00,1.33,2.67,1.33
6,-4.00,1.33,1.00,1.33,2.67,2.00,1.33,1.67,3.00,2.67,2.33,2.67
1,-4.00,2.67,1.00,1.67,1.33,2.00,2.67,2.33,3.00,1.33,1.67,2.33
8,-4.00,1.33,1.00,2.33,2.67,2.00,1.33,2.67,3.00,2.67,1.33,1.67
23,-6.00,4.00,1.50,2.50,2.00,3.00,1.00,3.50,4.50,5.00,2.50,3.50
7,-4.00,2.67,3.00,1.67,1.33,2.00,2.67,1.33,1.00,1.33,2.67,2.33
25,-4.00,2.67,1.00,1.00,1.33,2.00,2.00,1.00,3.00,2.00,3.00,3.00
5,-4.00,2.67,3.00,2.67,1.33,2.00,2.67,2.33,1.00,1.33,1.67,1.33
46,-6.00,2.00,3.00,5.00,4.00,3.00,2.00,1.00,3.00,4.00,5.00,1.00
4,-4.00,1.33,1.00,1.00,2.67,2.00,2.00,2.33,3.00,2.00,1.67,3.00
22,-4.00,1.33,3.00,3.00,2.67,2.00,2.00,3.00,1.00,2.00,1.00,1.00
8,-4.00,2.67,1.00,2.33,1.33,2.00,2.00,1.00,3.00,2.00,3.00,1.67
6,-4.00,1.33,3.00,2.33,2.67,2.00,1.33,2.67,1.00,2.67,1.33,1.67
9,-4.00,2.67,3.00,1.67,1.33,2.00,2.00,3.00,1.00,2.00,1.00,2.33
103,-12.00,4.00,9.00,1.00,8.00,6.00,10.00,5.00,3.00,2.00,7.00,11.00
2,-4.00,1.33,3.00,2.33,2.67,2.00,1.33,1.67,1.00,2.67,2.33,1.67
10,-4.00,2.67,1.00,1.00,1.33,2.00,2.00,2.33,3.00,2.00,1.67,3.00
16,-4.00,2.00,1.00,3.00,2.00,2.00,2.00,1.00,3.00,2.00,3.00,1.00
5,-4.00,1.33,3.00,3.00,2.67,2.00,2.00,1.67,1.00,2.00,2.33,1.00
15,-4.00,1.33,1.00,1.33,2.67,2.00,1.33,2.67,3.00,2.67,1.33,2.67
28,-6.00,2.00,1.50,3.50,4.00,3.00,5.00,2.50,4.50,1.00,3.50,2.50
4,-4.00,1.33,3.00,1.67,2.67,2.00,2.00,3.00,1.00,2.00,1.00,2.33
25,-6.00,2.00,4.50,3.50,4.00,3.00,5.00,2.50,1.50,1.00,3.50,2.50
5,-4.00,2.67,1.00,1.67,1.33,2.00,2.67,1.33,3.00,1.33,2.67,2.33
10,-4.00,2.00,3.00,3.00,2.00,2.00,2.00,1.00,1.00,2.00,3.00,1.00
14,-6.00,2.00,3.00,2.00,4.00,3.00,2.00,1.00,3.00,4.00,5.00,4.00
94,-12.00,4.00,3.00,7.00,8.00,6.00,10.00,11.00,9.00,2.00,1.00,5.00
13,-6.00,4.00,3.00,1.00,2.00,3.00,4.00,2.00,3.00,2.00,4.00,5.00
34,-6.00,4.00,4.50,2.50,2.00,3.00,1.00,3.50,1.50,5.00,2.50,3.50
5,-4.00,2.67,3.00,3.00,1.33,2.00,2.00,1.67,1.00,2.00,2.33,1.00
14,-6.00,2.00,3.00,5.00,4.00,3.00,2.00,4.00,3.00,4.00,2.00,1.00
115,-12.00,8.00,9.00,5.00,4.00,6.00,2.00,1.00,3.00,10.00,11.00,7.00
4,-4.00,1.33,3.00,1.33,2.67,2.00,1.33,1.67,1.00,2.67,2.33,2.67
17,-6.00,4.00,3.00,4.00,2.00,3.00,4.00,5.00,3.00,2.00,1.00,2.00
8,-4.00,2.00,3.00,1.00,2.00,2.00,2.00,3.00,1.00,2.00,1.00,3.00
10,-4.00,2.67,1.00,2.67,1.33,2.00,2.67,1.33,3.00,1.33,2.67,1.33
56,-6.00,4.00,3.00,1.00,2.00,3.00,4.00,5.00,3.00,2.00,1.00,5.00
110,-12.00,8.00,3.00,11.00,4.00,6.00,2.00,7.00,9.00,10.00,5.00,1.00
