count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22
1,-5.25,1.75,1.88,3.50,3.63,2.25,3.13,1.00,4.13,2.00,2.13,2.63,3.88,3.25,1.13,2.00,1.38,3.00,3.13,3.25,3.38,4.25,2.13,1.63
1,-4.00,2.00,2.50,2.00,1.50,1.00,2.50,1.00,1.50,3.00,2.50,2.00,2.50,2.00,2.50,2.00,1.50,3.00,1.50,1.00,1.50,3.00,1.50,2.50
4,-8.00,4.00,3.00,4.00,3.00,6.00,3.00,6.00,1.00,6.00,5.00,4.00,1.00,4.00,7.00,4.00,7.00,2.00,3.00,2.00,5.00,2.00,5.00,5.00
1,-5.33,2.67,2.33,2.67,2.33,2.00,2.33,2.00,4.33,2.00,1.67,2.67,4.33,4.00,1.00,1.33,1.00,3.33,3.67,3.33,3.00,3.33,3.00,3.00
1,-6.00,4.00,3.00,2.00,4.00,3.00,5.00,4.00,3.00,2.00,4.00,3.00,5.00,4.00,3.00,2.00,1.00,3.00,2.00,4.00,3.00,2.00,1.00,2.00
1,-6.00,4.00,3.00,2.00,4.00,3.00,5.00,4.00,3.00,2.00,1.00,3.00,2.00,4.00,3.00,2.00,4.00,3.00,5.00,4.00,3.00,2.00,1.00,2.00
1,-8.00,2.67,1.00,5.33,3.67,2.00,6.33,4.67,3.00,5.73,4.07,4.00,5.13,3.47,5.00,4.53,2.87,6.00,3.93,2.27,7.00,3.33,1.67,4.33
18,-12.00,8.00,3.00,4.00,11.00,6.00,7.00,2.00,9.00,10.00,5.00,6.00,1.00,8.00,3.00,4.00,11.00,6.00,7.00,2.00,9.00,10.00,5.00,1.00
1,-4.80,1.60,3.00,3.20,2.20,1.20,3.80,2.80,1.80,3.20,3.40,2.40,2.60,1.60,3.00,3.20,2.20,3.60,1.40,1.60,1.80,2.00,1.00,2.60
1,-4.00,1.33,1.83,2.67,2.50,1.00,2.50,1.00,1.50,1.00,2.83,2.00,1.50,2.00,2.50,2.00,2.50,3.00,1.17,3.00,2.17,3.00,1.50,1.50
1,-8.00,2.67,3.00,5.33,5.67,6.00,4.33,4.67,1.00,3.33,3.67,4.00,2.33,2.67,7.00,5.33,5.67,2.00,4.33,4.67,5.00,3.33,3.67,2.33
1,-8.00,2.67,3.00,5.33,5.67,6.00,3.00,3.33,3.67,6.00,6.33,4.00,1.00,4.00,4.33,4.00,7.00,2.00,1.67,2.00,5.00,4.67,5.00,2.33
1,-8.00,2.67,7.00,5.33,3.00,6.00,4.33,3.33,5.00,6.00,2.33,4.00,5.00,4.00,3.00,4.00,3.00,2.00,5.67,2.00,1.00,4.67,3.67,5.00
6,-12.00,8.00,9.00,4.00,5.00,6.00,1.00,2.00,3.00,10.00,5.00,6.00,7.00,8.00,9.00,4.00,5.00,6.00,7.00,2.00,3.00,10.00,11.00,7.00
1,-8.00,2.67,7.00,5.33,1.67,6.00,4.33,3.33,5.00,3.33,2.33,4.00,2.33,6.67,3.00,1.33,5.67,2.00,5.67,4.67,1.00,4.67,3.67,6.33
