count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26,a_27,a_28
1,-15.00,12.00,7.50,5.00,12.50,2.00,4.50,10.00,9.00,6.00,14.00,2.50,9.50,7.00,9.00,7.00,6.00,3.00,4.00,6.50,11.00,1.00,10.50,8.00,3.50,11.50,8.00,13.00,8.50,5.50
1,-7.50,4.50,3.75,2.50,6.25,3.25,4.50,5.00,5.25,2.25,4.00,1.25,3.25,2.00,5.25,2.00,2.25,3.00,6.50,4.00,1.00,3.50,3.00,5.50,1.00,6.50,5.50,4.25,3.50,4.25
1,-6.00,4.50,3.00,2.00,5.00,2.00,3.00,4.00,3.00,3.00,2.00,1.00,3.50,2.50,3.00,1.00,3.00,1.50,4.00,2.00,2.00,4.00,3.00,3.50,4.25,1.75,5.00,4.00,4.00,2.50
15,-30.00,12.00,15.00,20.00,5.00,2.00,27.00,10.00,24.00,6.00,14.00,25.00,17.00,22.00,9.00,7.00,21.00,18.00,4.00,29.00,26.00,16.00,3.00,8.00,11.00,19.00,23.00,28.00,1.00,13.00
1,-5.00,1.00,2.50,3.33,3.33,1.00,1.83,1.67,2.00,3.00,2.00,1.67,1.83,2.67,2.83,2.67,2.17,4.00,2.00,2.83,3.00,3.00,3.17,2.33,3.83,1.17,2.33,4.00,2.17,3.17
1,-10.00,8.00,5.00,6.67,1.67,4.67,3.00,3.33,6.00,4.00,2.67,8.33,6.33,4.67,1.00,6.33,9.00,2.00,2.67,7.67,7.33,7.33,7.00,5.33,5.67,4.33,3.67,5.33,2.33,3.67
1,-6.00,2.40,3.00,2.00,5.00,4.40,2.40,4.00,4.80,1.20,3.80,1.00,4.40,3.40,4.80,3.40,1.20,3.60,2.80,3.80,3.20,2.20,3.60,2.60,3.20,2.80,2.60,1.60,2.20,1.60
1,-7.50,3.00,3.75,2.50,2.50,5.50,3.00,5.00,6.00,1.50,4.75,5.00,5.50,2.38,6.00,2.38,1.50,4.50,3.50,1.00,4.00,2.75,4.50,5.13,4.00,3.50,5.13,2.00,6.50,2.00
3,-15.00,6.00,7.50,5.00,5.00,11.00,6.00,10.00,12.00,3.00,2.00,10.00,11.00,1.00,12.00,8.50,3.00,9.00,7.00,2.00,8.00,13.00,9.00,14.00,8.00,7.00,6.50,4.00,13.00,4.00
1,-10.00,8.00,5.00,3.33,8.33,4.67,3.00,6.67,6.00,4.00,6.00,1.67,6.33,4.67,1.00,3.00,9.00,2.00,2.67,4.33,7.33,4.00,7.00,5.33,5.67,4.33,7.00,5.33,5.67,3.67
