count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26
1,-6.09,4.00,4.57,3.70,3.04,4.35,3.39,1.52,4.04,2.26,2.52,3.09,4.39,3.83,1.00,1.74,2.30,4.09,2.09,5.09,2.00,3.78,3.00,3.57,1.70,2.04,2.70,2.39
1,-4.67,2.22,1.17,1.83,2.33,1.33,1.44,3.50,2.50,2.00,3.67,2.61,1.61,2.67,3.28,3.33,3.06,1.22,2.44,1.39,3.44,1.61,2.06,1.00,3.06,2.17,3.22,2.83
1,-7.00,2.00,3.50,5.50,3.50,4.00,5.50,3.50,4.00,2.50,4.00,5.50,2.50,4.50,4.00,3.00,4.50,6.00,5.00,3.00,1.00,2.50,1.50,3.00,4.50,3.00,1.50,1.50
1,-14.00,9.00,7.00,9.00,7.00,4.00,2.00,7.00,4.00,6.00,4.00,9.00,13.00,8.00,11.00,10.00,8.00,6.00,5.00,3.00,8.00,6.00,5.00,10.00,1.00,10.00,12.00,5.00
1,-4.83,2.48,3.62,3.21,2.41,1.10,2.00,1.21,1.83,2.62,3.52,2.72,1.41,2.21,2.31,3.72,1.00,1.17,2.34,2.52,3.66,3.83,2.10,1.31,3.41,3.00,2.83,1.62
1,-7.00,2.75,5.25,1.00,3.50,2.00,1.00,1.75,2.00,3.00,2.00,4.50,3.00,4.00,2.00,5.00,4.00,3.00,4.25,5.00,4.00,3.00,2.50,5.00,4.00,5.00,6.00,6.00
21,-28.00,8.00,7.00,15.00,14.00,16.00,22.00,21.00,23.00,24.00,2.00,1.00,3.00,4.00,9.00,12.00,11.00,10.00,20.00,19.00,18.00,17.00,27.00,26.00,25.00,5.00,6.00,13.00
1,-3.00,1.00,1.00,2.00,1.50,2.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00
1,-6.46,1.23,1.62,2.85,3.23,2.46,4.46,4.85,1.92,3.69,3.54,1.77,1.00,2.77,3.00,4.00,2.23,2.62,5.23,3.46,3.85,4.23,4.69,2.92,5.46,4.54,2.00,3.62
2,-9.33,5.33,7.00,7.67,4.67,6.00,5.33,2.33,3.67,6.67,6.00,3.00,4.33,2.67,8.33,3.33,5.00,2.00,4.00,1.00,7.33,4.33,6.33,3.33,5.00,5.67,4.00,1.67
1,-7.00,2.50,3.50,6.00,3.50,5.00,2.50,3.50,1.50,4.00,5.00,2.50,4.00,3.00,1.50,2.00,3.00,4.00,4.50,5.50,3.00,4.00,4.50,2.00,3.00,5.50,4.50,1.00
1,-4.90,3.90,1.23,1.62,2.45,2.90,2.85,3.68,3.43,1.90,1.85,3.38,2.43,3.00,2.38,2.00,3.53,2.95,1.00,2.53,1.95,1.38,1.53,3.05,2.47,1.47,2.05,3.28
1,-7.00,1.00,1.75,2.75,3.50,2.00,4.50,5.25,2.00,3.00,2.00,1.00,3.00,4.00,2.00,5.00,4.00,3.00,6.00,5.00,4.00,3.00,6.00,5.00,4.00,5.00,2.50,4.25
2,-14.00,12.00,10.50,8.50,7.00,10.00,5.00,3.50,6.50,8.00,3.00,8.50,4.50,6.00,6.50,4.00,2.50,1.00,2.00,7.50,13.00,11.50,5.50,11.00,9.50,7.50,9.00,5.50
6,-14.00,4.00,10.50,7.50,7.00,8.00,11.00,3.50,4.50,12.00,1.00,7.50,8.50,2.00,11.50,6.00,12.50,5.00,10.00,2.50,9.00,1.50,6.50,13.00,5.50,9.50,3.00,6.50
1,-7.00,3.00,3.50,4.75,3.50,2.50,3.00,3.50,2.50,5.50,2.50,3.00,2.00,1.50,6.00,4.50,5.00,2.00,4.00,1.00,5.00,2.00,4.00,4.50,5.00,4.50,4.00,2.25
1,-7.00,5.00,5.25,3.25,3.50,3.00,5.00,1.75,4.75,1.00,3.00,3.25,2.75,6.00,4.75,4.00,4.25,4.50,2.00,2.25,2.50,2.75,3.75,4.00,4.25,2.25,2.00,3.75
1,-4.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,3.00,3.00,2.00,3.00,3.00,2.00,3.00
1,-4.94,3.76,3.71,2.53,2.47,2.59,2.94,1.24,1.35,3.06,3.41,3.35,3.47,1.88,2.18,2.35,3.94,2.24,1.18,2.76,2.71,1.00,1.59,1.53,1.47,3.59,2.00,2.41
1,-7.00,6.00,2.92,4.25,3.50,5.00,2.50,4.08,5.58,4.00,1.50,3.08,4.58,3.00,3.25,2.00,4.75,2.83,1.00,3.75,4.17,2.25,3.92,5.50,2.42,1.42,4.50,2.75
1,-5.60,4.00,1.40,2.60,2.80,2.40,2.60,4.20,3.80,3.60,1.00,2.60,2.20,2.00,1.00,3.20,2.00,3.60,1.60,4.60,2.00,3.60,3.00,4.60,3.40,1.80,3.00,3.00
2,-7.00,6.00,5.25,4.25,3.50,5.00,2.50,1.75,3.25,4.00,1.50,4.25,5.75,3.00,3.25,2.00,4.75,4.00,1.00,3.75,3.00,2.25,2.75,5.50,1.25,3.75,4.50,2.75
1,-9.33,4.00,2.33,6.33,4.67,4.27,6.80,7.00,1.00,2.67,3.33,1.67,5.00,6.67,5.67,5.07,3.40,7.33,5.33,3.67,2.00,5.93,7.67,6.00,4.33,8.33,2.53,3.00
1,-7.00,1.00,3.75,1.75,3.50,2.00,3.50,3.25,1.75,3.00,3.50,4.25,1.75,4.00,5.25,5.00,2.75,3.50,6.00,1.75,3.50,4.25,2.75,3.50,5.25,5.25,3.50,5.25
1,-9.33,6.00,7.00,8.33,4.67,2.67,6.00,2.33,5.00,4.00,7.33,3.67,1.67,5.33,5.00,6.67,3.00,6.33,3.33,4.33,3.00,6.33,5.67,2.00,7.67,4.33,3.33,1.00
